Book,Tag,Description,Author,Date
Thinking Like a Phage,Phages,"The book presents a comprehensive yet accessible look at phages, blending humor and scientific depth to explain their life cycles, ecological roles, and potential applications.",Merry Youle,2017
"<a href=""https://r4ds.hadley.nz"">R for Data Science</a>",R,"This book will teach you how to do data science with R: You’ll learn how to get your data into R, get it into the most useful structure, transform it and visualize.","Çetinkaya-Rundel, and Garrett Grolemund",
Brock Biology of Microorganisms,Microbiology,"It provides an in-depth exploration of microbial structure, physiology, genetics, ecology, and evolution, as well as their roles in health, disease, and biotechnology. ","Michael T. Madigan, Kelly S. Bender, Daniel H. Buckley",2018
"<a href=""https://raps-with-r.dev"">Building reproducible analytical pipelines with R</a>",R,"How using a few ideas from software engineering can help data scientists, analysts and researchers write reliable code",Bruno Rodrigues,2023
Microcosmos,Biology,"Microcosmos brings together the remarkable discoveries of microbiology of the past two decades and the pioneering research of Dr. Margulis to create a vivid new picture of the world that is crucial to our understanding of the future of the planet. Addressed to general readers, the book provides a beautifully written view of evolution as a process based on interdependency and thei nterconnectedness of all life on the planet.",Lynn Margulis,1986
"<a href=""https://rc2e.com"">R cook book</a>",R,"This book is full of how-to recipes, each of which solves a specific problem. The recipe includes a quick introduction to the solution followed by a discussion that aims to unpack the solution and give you some insight into how it works.",James Long and Paul Teetor,2019
An Adventure in Statistics: The Reality Enigma,Statistics,"It combines rock-solid statistics coverage with compelling visual storytelling to address the conceptual difficulties that students learning statistics for the first time often encounter in introductory courses. Students are guided away from rote memorization towards independent, critical thinking and problem solving.",Andy Field,2022
Microbe Hunters,Microbiology,"This is a timeless dramatization of the scientists, bacteriologists, doctors, and medical technicians who discovered the microbes and invented the vaccines to counter them.",Paul de Kruif ,1927
"<a href=""https://link.springer.com/book/10.1007/978-1-0716-3910-8"">Metaproteomics: Methods and Protocols</a>",Metaproteomics,"This volume provides references for methods about the proteomics of microbial communities, also called metaproteomics. Chapters guide readers first through specific protein extractions from different environments and/or ecological niches crowded by heterogeneous microbial communities, then deepening the possible complete metaproteomic workflows in several situations or conditions.",Carlo Salerno,2024
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",Data visualization,"This book details essential strategies to create more effective data visualizations. Jonathan Schwabish walks readers through the steps of creating better graphs and how to move beyond simple line, bar, and pie charts",Jonathan Schwabish ,2021
"Visualize This: The Flowing Data Guide to Design, Visualization, and Statistics",Data visualization,"Visualize This demonstrates how to explain data visually, so that you can present and communicate information in a way that is appealing and easy to understand. ",Nathan Yau ,2024
Math for Programming,Programming,"This book containts the essential mathematics that will take you from basic coding to serious software development. You’ll discover how vectors and matrices give you the power to handle complex data, how calculus drives optimization and machine learning, and how graph theory leads to advanced search algorithms.",Ronald T. Kneusel,2025